fecha_proceso,nro_socio,v_ah_cuenta,fecha_aper,fecha_ultmov,oficina_cta,estado_actual,prod_bancario,saldo_disponible,monto_bloq,ult_tasa_int,tiene_bloqueos,bloqueo_encaje,v24h,val_de_creditos,val_de_debitos,fecha_ult_capi,tipo_cuenta,cooplinea,tarjetas,credito,fecha_actualizacion,v12h,v48h,v72h_difer,int_hoy,int_acumulado,saldo_int_decim
2026-05-18,2000021,4000021,2023-09-15,2026-03-29,69,A,10,15357.15,334.75,2.00,1,33.48,1245.17,1421.92,2365.66,2026-05-18,AHORROS,1,0,1,2025-12-06,175.95,1234.11,304.12,2.85,15.53,76.11
2026-05-18,2000022,4000022,2023-11-20,2026-04-29,69,A,20,16685.34,497.47,0.60,1,49.75,421.84,34.74,598.99,2026-05-18,CUENTA BASICA,0,1,1,2025-07-18,323.75,1805.26,359.57,1.76,10.43,38.09
2026-05-18,2000023,4000023,2022-01-26,2026-05-03,69,A,10,11582.26,1.63,1.00,1,0.16,1244.39,1644.84,262.87,2026-05-18,CUENTA BASICA,0,1,1,2025-05-26,365.48,946.49,753.27,2.00,225.01,21.99
2026-05-18,2000024,4000024,2019-01-16,2026-03-28,20,A,1,2965.56,90.51,2.00,1,9.05,1145.04,1304.85,199.59,2026-05-18,CUENTA BASICA,0,1,1,2025-12-09,862.06,925.74,758.61,0.11,0.61,12.45
2026-05-18,2000025,4000025,2020-06-11,2026-03-09,5,A,10,2337.31,237.89,1.50,1,23.79,418.44,839.03,2757.89,2026-05-18,EL CENTAVITO,1,1,1,2025-06-17,603.22,1865.73,981.27,0.41,23.00,0.52
2026-05-18,2000026,4000026,2020-09-18,2026-05-01,60,A,10,8339.64,1146.73,2.00,1,114.67,39.71,2628.01,911.57,2026-05-18,AHORROS,0,1,1,2026-04-27,548.18,1741.67,1071.88,1.03,72.75,33.74
2026-05-18,2000027,4000027,2022-06-09,2026-03-30,20,A,10,2833.12,427.90,1.00,1,42.79,656.94,2771.52,3046.52,2026-05-18,AHORROS,0,1,1,2025-07-10,158.31,390.46,724.27,0.24,38.72,9.29
2026-05-18,2000028,4000028,2021-07-03,2026-04-19,48,A,10,9329.96,725.52,0.60,1,72.55,1083.78,276.58,2845.41,2026-05-18,AHORROS,1,0,1,2025-01-01,102.52,1612.57,464.09,0.66,111.41,6.60
2026-05-18,2000029,4000029,2019-01-15,2026-03-26,20,I,10,15543.60,3073.83,0.60,1,307.38,31.05,2156.40,3768.57,2026-05-18,EL CENTAVITO,1,0,1,2025-09-21,352.71,1398.78,228.65,1.89,90.82,40.34
2026-05-18,2000030,4000030,2018-07-27,2026-04-17,20,A,10,3204.71,1.52,1.50,1,0.15,1037.22,2620.33,2283.13,2026-05-18,EL CENTAVITO,0,0,1,2026-03-12,517.29,1268.31,546.81,0.50,9.13,14.95
2026-05-18,2000031,4000031,2022-07-29,2026-03-10,41,A,20,125.47,0.16,1.00,1,0.02,350.76,537.56,3750.84,2026-05-18,AHORROS,0,0,1,2025-01-21,104.22,277.23,1196.95,0.01,1.97,0.22
2026-05-18,2000032,4000032,2020-10-09,2026-05-15,69,A,20,3036.65,499.96,0.60,1,50.00,96.01,2390.18,3014.67,2026-05-18,AHORROS,0,1,1,2025-12-30,132.78,734.17,104.66,0.37,29.54,11.29
2026-05-18,2000033,4000033,2024-08-01,2026-03-27,41,A,10,11757.89,1555.03,1.50,1,155.50,445.83,2842.02,1417.36,2026-05-18,EL CENTAVITO,1,0,1,2025-03-15,364.32,1992.91,538.42,0.20,46.72,19.47
2026-05-18,2000034,4000034,2020-04-24,2026-05-06,48,A,1,13361.94,1590.20,2.00,1,159.02,66.05,1724.82,997.29,2026-05-18,EL CENTAVITO,0,1,1,2025-03-27,344.80,1506.89,881.38,2.06,125.80,20.30
2026-05-18,2000035,4000035,2023-09-01,2026-03-22,60,A,20,16530.48,1380.45,1.00,1,138.05,1490.87,3111.40,2796.11,2026-05-18,AHORROS,1,0,1,2025-03-16,542.93,1586.78,471.45,2.59,286.51,64.50
2026-05-18,2000036,4000036,2023-02-28,2026-03-09,48,A,1,4615.67,347.64,0.60,1,34.76,1474.54,1269.73,1766.71,2026-05-18,CUENTA BASICA,0,1,1,2025-04-11,389.34,89.86,1124.39,0.55,27.71,15.31
2026-05-18,2000037,4000037,2023-02-16,2026-03-12,5,A,10,17503.28,63.19,1.00,1,6.32,648.12,2267.34,1204.01,2026-05-18,CUENTA BASICA,1,0,1,2025-10-19,465.12,688.83,152.62,0.26,109.87,51.79
2026-05-18,2000038,4000038,2022-07-11,2026-04-05,41,I,20,3842.34,371.28,1.00,1,37.13,1159.76,2672.99,2855.65,2026-05-18,CUENTA BASICA,0,1,1,2025-01-04,162.99,2275.15,10.68,0.26,19.31,17.84
2026-05-18,2000039,4000039,2022-11-27,2026-03-23,20,I,1,12799.69,1249.87,1.50,1,124.99,511.85,3351.19,1852.10,2026-05-18,CUENTA BASICA,0,0,1,2026-01-28,515.25,1290.53,631.04,0.69,235.08,6.85
2026-05-18,2000040,4000040,2022-01-21,2026-05-02,69,A,10,5596.19,724.51,2.00,1,72.45,86.24,3656.53,2469.61,2026-05-18,EL CENTAVITO,0,0,1,2025-01-24,803.03,1275.64,527.35,0.98,74.36,14.49
2026-05-18,2000041,4000041,2018-04-03,2026-03-22,69,A,1,6754.10,552.51,1.50,1,55.25,1331.21,2710.12,2164.62,2026-05-18,EL CENTAVITO,1,0,1,2025-03-31,59.39,547.90,693.50,0.29,36.00,31.32
2026-05-18,2000042,4000042,2021-07-12,2026-04-09,69,A,1,16450.78,3174.17,1.50,1,317.42,168.95,736.06,3753.53,2026-05-18,CUENTA BASICA,1,0,1,2025-05-07,567.00,532.42,181.17,2.09,247.88,79.48
2026-05-18,2000043,4000043,2025-03-11,2026-04-18,60,A,10,10449.36,392.63,1.50,1,39.26,581.48,1294.69,1337.77,2026-05-18,EL CENTAVITO,0,0,1,2026-02-12,12.95,1617.32,344.63,0.16,195.02,37.70
2026-05-18,2000044,4000044,2020-06-09,2026-03-07,69,A,10,14134.91,1316.66,2.00,1,131.67,113.74,291.62,3568.75,2026-05-18,CUENTA BASICA,0,0,1,2025-02-28,756.41,105.77,456.85,0.72,223.25,0.93
2026-05-18,2000045,4000045,2025-11-29,2026-03-06,69,A,10,9792.57,1347.57,1.00,1,134.76,8.35,211.26,2942.31,2026-05-18,EL CENTAVITO,1,1,1,2026-05-15,733.93,685.89,912.94,0.86,182.40,47.78
2026-05-18,2000046,4000046,2025-05-18,2026-03-20,48,A,10,8719.20,249.73,2.00,1,24.97,581.66,2178.15,203.46,2026-05-18,AHORROS,0,0,1,2026-05-01,674.08,2292.43,740.01,0.24,39.26,21.47
2026-05-18,2000047,4000047,2022-01-07,2026-04-02,69,A,1,4139.40,212.58,0.60,1,21.26,407.03,277.73,429.88,2026-05-18,EL CENTAVITO,1,0,1,2025-02-21,788.21,1951.12,220.10,0.30,69.94,7.38
2026-05-18,2000048,4000048,2022-11-24,2026-03-15,5,A,10,15158.42,2133.78,2.00,1,213.38,1168.59,2455.57,1198.21,2026-05-18,AHORROS,1,1,1,2025-07-02,771.30,617.96,877.97,1.41,43.43,33.01
2026-05-18,2000049,4000049,2020-09-15,2026-04-28,69,A,10,15184.12,2310.85,1.00,1,231.09,549.71,2757.60,1068.49,2026-05-18,AHORROS,0,1,1,2025-07-25,535.91,66.86,395.15,2.41,284.48,6.35
2026-05-18,2000050,4000050,2025-10-06,2026-04-29,60,A,20,7182.41,1239.25,1.50,1,123.93,1553.24,2621.26,1924.28,2026-05-18,CUENTA BASICA,0,1,1,2026-04-01,449.27,1237.04,916.66,1.34,39.81,7.77
2026-05-18,2000051,4000051,2021-05-20,2026-03-14,5,A,1,11055.18,1938.15,0.60,1,193.82,645.62,1308.58,2406.12,2026-05-18,EL CENTAVITO,0,1,1,2026-01-05,606.95,853.59,704.72,0.23,60.48,44.25
2026-05-18,2000052,4000052,2021-07-21,2026-05-02,48,A,20,16371.41,1670.01,0.60,1,167.00,524.44,1046.23,2407.80,2026-05-18,CUENTA BASICA,1,1,1,2025-02-03,733.31,1949.23,129.50,2.81,319.35,77.67
2026-05-18,2000053,4000053,2026-01-31,2026-03-23,20,A,1,2373.72,352.87,1.50,1,35.29,488.01,2560.29,3343.83,2026-05-18,AHORROS,1,1,1,2025-06-27,825.98,1393.58,542.32,0.42,14.49,6.82
2026-05-18,2000054,4000054,2024-08-12,2026-05-02,5,A,20,3063.86,22.63,1.50,1,2.26,812.09,458.49,2723.79,2026-05-18,AHORROS,1,0,1,2026-03-29,148.97,819.30,424.49,0.43,7.26,5.27
2026-05-18,2000055,4000055,2025-08-28,2026-05-07,48,A,1,13889.67,1425.26,0.60,1,142.53,507.89,215.11,1066.43,2026-05-18,AHORROS,0,0,1,2025-10-25,758.46,1983.86,1101.60,1.35,7.11,0.81
2026-05-18,2000056,4000056,2024-06-18,2026-04-21,69,A,20,7033.74,1337.43,2.00,1,133.74,98.55,1285.87,2649.93,2026-05-18,AHORROS,0,0,1,2026-03-20,897.99,2308.98,749.16,0.90,9.31,28.82
2026-05-18,2000057,4000057,2022-06-28,2026-05-03,60,A,1,3932.34,674.65,0.60,1,67.47,722.95,3955.86,2784.11,2026-05-18,EL CENTAVITO,1,0,1,2025-07-25,546.28,2161.19,615.08,0.10,18.24,1.69
2026-05-18,2000058,4000058,2021-11-18,2026-04-04,69,A,10,3025.34,556.11,1.00,1,55.61,500.85,2989.97,3724.65,2026-05-18,CUENTA BASICA,0,1,1,2025-04-14,796.51,2339.01,771.91,0.53,55.78,13.35
2026-05-18,2000059,4000059,2018-01-14,2026-03-20,5,A,10,1891.74,314.11,1.00,1,31.41,1138.28,748.48,2457.67,2026-05-18,AHORROS,0,1,1,2026-05-01,89.71,1109.61,690.45,0.30,8.12,7.15
2026-05-18,2000060,4000060,2019-09-21,2026-03-02,41,A,20,10545.64,1415.81,1.50,1,141.58,383.37,3637.25,3182.55,2026-05-18,AHORROS,1,0,1,2025-01-09,454.48,646.66,951.76,1.88,194.47,2.77
2026-05-18,2000061,4000061,2020-02-12,2026-03-26,60,A,10,3784.95,539.19,2.00,1,53.92,1444.61,836.70,824.37,2026-05-18,EL CENTAVITO,0,1,1,2025-10-11,862.37,1263.76,23.38,0.61,28.38,7.19
2026-05-18,2000062,4000062,2023-05-10,2026-05-08,41,A,20,11056.12,2009.56,1.50,1,200.96,1492.24,2467.15,103.57,2026-05-18,AHORROS,0,1,1,2025-09-21,193.39,279.19,527.61,0.91,138.00,34.96
2026-05-18,2000063,4000063,2025-05-21,2026-04-08,41,A,1,13981.94,1007.80,0.60,1,100.78,93.70,1827.41,3613.20,2026-05-18,AHORROS,1,0,1,2025-01-10,343.45,824.21,483.18,0.72,221.12,2.59
2026-05-18,2000064,4000064,2019-08-06,2026-04-22,48,A,1,10457.41,252.71,0.60,1,25.27,696.05,1544.79,395.11,2026-05-18,EL CENTAVITO,1,0,1,2025-08-08,623.54,1544.19,728.02,0.28,104.55,34.43
2026-05-18,2000065,4000065,2018-01-25,2026-03-30,41,A,1,8950.66,358.86,1.50,1,35.89,784.00,2298.83,1368.35,2026-05-18,CUENTA BASICA,0,1,1,2025-09-07,264.48,2146.87,1047.33,0.03,12.06,10.49
2026-05-18,2000066,4000066,2023-10-16,2026-03-24,41,A,10,13947.08,2260.76,1.00,1,226.08,1340.90,3739.28,2700.60,2026-05-18,EL CENTAVITO,1,1,1,2025-12-28,378.21,603.62,516.53,2.60,12.23,20.13
2026-05-18,2000067,4000067,2021-01-23,2026-04-24,20,A,20,5238.82,101.90,1.50,1,10.19,198.79,1261.61,902.42,2026-05-18,AHORROS,1,0,1,2025-07-19,108.06,869.47,447.84,0.54,38.69,26.03
2026-05-18,2000068,4000068,2020-02-11,2026-04-23,60,A,10,2364.14,76.66,1.50,1,7.67,805.80,3401.50,2726.79,2026-05-18,CUENTA BASICA,0,1,1,2026-01-05,545.22,1088.84,261.80,0.14,10.32,9.89
2026-05-18,2000069,4000069,2024-05-10,2026-04-10,20,A,20,12382.24,1777.59,2.00,1,177.76,191.25,108.99,2023.74,2026-05-18,EL CENTAVITO,0,1,1,2025-05-19,341.80,2224.79,669.92,2.28,193.18,53.70
2026-05-18,2000070,4000070,2018-10-06,2026-03-31,5,A,10,3219.83,576.88,0.60,1,57.69,26.30,2384.66,3258.20,2026-05-18,AHORROS,1,0,1,2025-04-04,40.41,122.96,830.18,0.59,9.05,7.13
2026-05-18,2000071,4000071,2018-09-25,2026-05-16,69,A,1,13012.51,886.40,1.50,1,88.64,1571.39,2695.92,725.55,2026-05-18,AHORROS,1,0,1,2025-12-08,512.90,1326.95,992.33,0.93,112.88,26.79
2026-05-18,2000072,4000072,2026-01-24,2026-05-12,69,A,1,13370.06,1755.35,2.00,1,175.53,1345.45,2314.35,3495.35,2026-05-18,EL CENTAVITO,1,0,1,2025-07-06,213.90,1557.21,565.42,0.04,125.86,62.75
2026-05-18,2000073,4000073,2019-07-24,2026-03-08,41,A,1,15541.26,2069.11,0.60,1,206.91,1329.54,1538.83,848.22,2026-05-18,AHORROS,1,0,1,2025-05-24,146.16,1333.11,932.08,1.34,193.08,58.88
2026-05-18,2000074,4000074,2022-11-07,2026-04-13,69,A,10,1107.85,13.67,2.00,1,1.37,346.73,3432.79,1211.42,2026-05-18,AHORROS,0,0,1,2025-10-25,498.73,496.75,72.99,0.02,5.75,0.74
2026-05-18,2000075,4000075,2023-08-10,2026-03-16,5,I,20,17737.71,1286.09,1.50,1,128.61,1312.71,2174.52,1040.70,2026-05-18,EL CENTAVITO,0,0,1,2025-03-28,801.21,776.97,786.37,2.23,266.83,83.77
2026-05-18,2000076,4000076,2024-12-13,2026-04-15,60,A,20,10894.16,1202.86,0.60,1,120.29,144.30,2828.17,750.09,2026-05-18,AHORROS,0,0,1,2025-06-04,853.67,22.55,587.73,1.36,179.35,35.94
2026-05-18,2000077,4000077,2023-03-17,2026-04-30,48,A,10,17018.28,1096.63,1.00,1,109.66,1031.24,1085.73,1638.97,2026-05-18,CUENTA BASICA,1,1,1,2025-10-25,526.03,352.37,1125.69,2.66,318.54,83.96
2026-05-18,2000078,4000078,2025-04-22,2026-03-05,48,I,20,1049.93,21.24,1.50,1,2.12,328.98,1457.23,2936.65,2026-05-18,EL CENTAVITO,1,0,1,2025-04-29,335.64,1431.55,196.87,0.00,2.18,1.92
2026-05-18,2000079,4000079,2021-07-21,2026-05-11,60,A,10,16851.91,1715.80,0.60,1,171.58,1175.86,1195.28,3647.32,2026-05-18,EL CENTAVITO,0,1,1,2025-02-08,353.87,2011.04,1125.28,2.51,293.08,66.87
2026-05-18,2000080,4000080,2022-08-15,2026-04-08,5,A,10,13268.83,1439.17,0.60,1,143.92,161.84,3762.73,2154.60,2026-05-18,CUENTA BASICA,0,1,1,2025-12-03,873.96,902.12,828.82,2.29,111.36,10.17
2026-05-18,2000081,4000081,2024-01-20,2026-05-04,69,A,1,4195.56,271.20,1.00,1,27.12,388.28,634.92,2435.38,2026-05-18,AHORROS,1,1,1,2025-04-29,607.38,2007.20,332.24,0.67,73.02,6.03
2026-05-18,2000082,4000082,2020-04-17,2026-03-19,48,A,1,11825.89,1103.04,2.00,1,110.30,1218.22,2095.80,378.77,2026-05-18,EL CENTAVITO,0,0,1,2025-10-27,642.21,30.30,393.10,1.31,126.14,24.66
2026-05-18,2000083,4000083,2018-10-15,2026-03-04,69,A,10,17769.28,1318.79,2.00,1,131.88,905.32,601.81,2729.57,2026-05-18,AHORROS,1,0,1,2025-07-01,29.61,596.18,1073.12,2.50,296.55,25.04
2026-05-18,2000084,4000084,2019-08-05,2026-05-15,41,A,20,13273.47,753.98,2.00,1,75.40,1424.19,1125.22,1615.30,2026-05-18,CUENTA BASICA,0,1,1,2025-04-28,851.68,1840.35,68.55,1.87,213.83,24.37
2026-05-18,2000085,4000085,2025-08-14,2026-04-30,48,A,1,14247.62,2263.57,1.00,1,226.36,1189.30,2758.43,1788.32,2026-05-18,AHORROS,0,0,1,2026-01-02,249.99,280.95,495.54,2.81,89.28,22.78
2026-05-18,2000086,4000086,2018-12-09,2026-03-24,60,A,20,5121.47,563.74,0.60,1,56.37,501.02,812.67,2393.77,2026-05-18,EL CENTAVITO,0,0,1,2025-02-24,236.56,2080.85,555.87,0.83,50.17,7.89
2026-05-18,2000087,4000087,2025-11-11,2026-04-16,48,A,10,14803.18,1207.07,1.50,1,120.71,902.65,817.56,1922.23,2026-05-18,CUENTA BASICA,0,0,1,2025-08-04,688.10,866.33,813.00,1.77,98.69,14.54
2026-05-18,2000088,4000088,2022-08-27,2026-03-23,20,I,10,869.78,18.05,2.00,1,1.81,1304.09,833.54,939.71,2026-05-18,AHORROS,1,1,1,2025-10-18,705.67,1121.72,160.31,0.05,6.33,3.43
2026-05-18,2000089,4000089,2019-01-30,2026-03-11,41,A,10,17283.83,3027.47,1.50,1,302.75,1309.90,133.28,3578.69,2026-05-18,AHORROS,0,0,1,2025-10-19,352.24,1257.71,743.20,3.16,17.35,22.10
2026-05-18,2000090,4000090,2023-03-27,2026-03-13,41,A,20,6303.74,249.09,2.00,1,24.91,957.71,358.40,780.78,2026-05-18,EL CENTAVITO,1,1,1,2025-03-28,646.03,818.05,97.37,0.62,107.96,17.32
2026-05-18,2000091,4000091,2025-07-16,2026-03-15,48,A,10,7407.28,74.37,1.00,1,7.44,42.67,3723.50,118.56,2026-05-18,CUENTA BASICA,0,0,1,2026-02-17,624.43,2330.37,886.11,1.44,25.95,26.43
2026-05-18,2000092,4000092,2020-07-02,2026-03-31,48,A,1,8537.70,7.57,1.00,1,0.76,989.68,1396.62,1165.97,2026-05-18,CUENTA BASICA,1,1,1,2025-01-29,643.47,619.42,94.83,1.45,98.46,1.93
2026-05-18,2000093,4000093,2018-07-21,2026-04-08,20,A,10,16647.09,1821.36,1.00,1,182.14,1573.85,119.34,764.90,2026-05-18,EL CENTAVITO,0,0,1,2025-09-24,446.22,2058.78,949.34,0.52,210.25,42.14
2026-05-18,2000094,4000094,2022-10-01,2026-05-07,20,A,20,16145.59,1721.55,1.00,1,172.16,1134.72,885.02,1173.51,2026-05-18,EL CENTAVITO,1,1,1,2025-08-05,20.77,1544.03,575.02,0.28,56.80,80.63
2026-05-18,2000095,4000095,2020-07-11,2026-03-14,5,A,1,8392.28,19.67,1.00,1,1.97,1586.96,887.20,1184.98,2026-05-18,CUENTA BASICA,1,1,1,2025-02-14,808.92,485.19,523.91,0.20,25.64,3.98
2026-05-18,2000096,4000096,2022-09-15,2026-03-29,20,I,1,11156.01,1359.93,2.00,1,135.99,502.29,2216.95,519.67,2026-05-18,CUENTA BASICA,0,1,1,2025-06-23,162.15,597.93,1138.05,0.77,104.69,55.00
2026-05-18,2000097,4000097,2019-09-03,2026-05-01,48,A,10,11870.14,1932.27,1.50,1,193.23,145.00,2639.20,463.69,2026-05-18,CUENTA BASICA,1,1,1,2025-05-20,636.78,359.61,577.71,0.04,130.78,49.37
2026-05-18,2000098,4000098,2025-09-26,2026-04-05,60,A,20,16765.66,1660.73,0.60,1,166.07,167.99,1407.80,2590.81,2026-05-18,CUENTA BASICA,0,0,1,2026-04-21,851.90,2263.12,348.36,0.66,276.16,27.40
2026-05-18,2000099,4000099,2019-07-30,2026-03-19,60,A,10,6692.38,158.72,2.00,1,15.87,516.82,2337.83,1319.98,2026-05-18,CUENTA BASICA,0,0,1,2025-12-13,432.36,193.01,852.07,0.15,54.27,1.49
2026-05-18,2000100,4000100,2018-11-11,2026-04-12,20,A,1,517.62,83.81,1.00,1,8.38,1107.80,2143.85,1235.16,2026-05-18,AHORROS,0,1,1,2025-10-09,184.92,779.85,205.28,0.05,6.70,1.60
2026-05-18,2000101,4000101,2021-10-10,2026-04-04,20,A,10,9628.26,81.76,1.00,1,8.18,532.89,2693.31,3377.51,2026-05-18,CUENTA BASICA,1,0,1,2026-04-18,870.51,848.43,425.38,0.99,46.58,16.53
2026-05-18,2000102,4000102,2019-03-29,2026-04-20,5,A,10,5708.75,1091.14,1.00,1,109.11,1096.27,2362.82,2345.57,2026-05-18,CUENTA BASICA,0,0,1,2025-11-30,312.68,1298.84,1027.14,1.08,103.48,28.45
2026-05-18,2000103,4000103,2021-01-17,2026-03-11,20,A,1,10404.97,1707.03,1.00,1,170.70,1321.14,3527.57,2608.55,2026-05-18,CUENTA BASICA,1,0,1,2025-04-01,221.98,779.20,772.51,0.48,15.06,26.88
2026-05-18,2000104,4000104,2018-06-22,2026-04-24,41,A,20,2924.06,553.04,1.50,1,55.30,399.74,3593.58,743.88,2026-05-18,AHORROS,0,1,1,2026-02-16,898.79,1137.94,842.07,0.58,18.97,8.28
2026-05-18,2000105,4000105,2019-08-14,2026-03-08,41,A,20,4918.78,704.16,0.60,1,70.42,699.52,2283.59,903.98,2026-05-18,EL CENTAVITO,0,0,1,2025-05-08,710.62,1524.24,664.37,0.22,71.65,10.18
2026-05-18,2000106,4000106,2018-09-30,2026-03-07,48,A,20,857.76,54.40,2.00,1,5.44,176.21,97.92,2761.59,2026-05-18,CUENTA BASICA,1,0,1,2025-09-23,225.24,1275.71,727.86,0.09,4.44,2.25
2026-05-18,2000107,4000107,2024-11-20,2026-05-06,60,A,20,1691.99,140.13,1.50,1,14.01,996.59,3264.59,2837.69,2026-05-18,AHORROS,1,1,1,2025-12-27,512.01,815.99,322.81,0.00,23.79,2.91
2026-05-18,2000108,4000108,2022-03-03,2026-03-02,5,A,1,2319.97,27.57,1.00,1,2.76,1077.74,856.03,16.58,2026-05-18,AHORROS,0,1,1,2025-11-02,428.40,487.21,13.47,0.41,9.51,10.96
2026-05-18,2000109,4000109,2023-08-22,2026-03-06,41,A,1,5138.06,920.85,2.00,1,92.09,516.80,3890.77,2655.64,2026-05-18,AHORROS,1,1,1,2025-04-06,754.58,1889.91,859.48,0.23,25.52,0.74
2026-05-18,2000110,4000110,2019-04-03,2026-03-13,60,A,20,17884.16,1958.91,1.00,1,195.89,345.28,3799.45,1676.23,2026-05-18,CUENTA BASICA,1,0,1,2025-11-24,656.02,767.48,1004.52,2.17,194.13,17.96
2026-05-18,2000111,4000111,2021-05-10,2026-05-05,48,A,1,4452.15,283.75,1.00,1,28.38,355.37,2345.00,3290.51,2026-05-18,AHORROS,0,0,1,2025-03-30,328.79,974.35,902.84,0.39,85.88,17.04
