nro_socio,nombre_socio,sexo,estado_civil,fech_nacimiento,ingresos_socio,egresos_socio,nivel_educa,tipo_vivien,nro_carga_fam,tipo_vivien_orig,ciudad_orig,nro_credito
2000039,Diego Moreira Torres,M,D,1970-08-03,625.01,400.68,N,ARRENDADA,5,FAMILIAR,Manta,1
2000040,Diego Vera Cedeño,M,U,1998-05-06,2325.16,1244.93,N,ARRENDADA,0,FAMILIAR,Cuenca,1
2000041,Gabriela Zambrano Vera,F,D,1992-10-12,630.00,326.29,U,PROPIA,5,HIPOTECADA,Quito,1
2000042,Sofia Vera Mendoza,F,D,1982-06-15,1685.41,1260.79,U,HIPOTECADA,5,FAMILIAR,Machala,1
2000043,Maria Cedeño Cedeño,F,U,1966-03-19,1930.26,1068.84,U,HIPOTECADA,3,ARRENDADA,Machala,1
2000044,Sofia Moreira Lopez,F,U,1972-09-02,884.12,486.33,U,PROPIA,5,ARRENDADA,Guayaquil,1
2000045,Oscar Torres Zambrano,M,U,1968-01-20,1193.52,949.12,P,HIPOTECADA,5,FAMILIAR,Ambato,1
2000046,Ana Mendoza Cedeño,F,C,1993-10-10,3764.71,1812.07,S,FAMILIAR,4,ARRENDADA,Machala,1
2000047,Jorge Mendoza Lopez,M,D,2002-03-19,1512.69,1214.63,U,PROPIA,0,FAMILIAR,Guayaquil,1
2000048,Gabriela Mendoza Cedeño,F,S,1978-12-02,630.74,439.37,P,PROPIA,0,FAMILIAR,Portoviejo,1
2000049,Jorge Moreira Lopez,M,S,1991-09-19,2583.25,1744.63,U,ARRENDADA,2,HIPOTECADA,Quito,1
2000050,Jorge Ponce Moreira,M,U,1996-07-15,2788.81,2184.14,N,FAMILIAR,5,PROPIA,Manta,1
2000051,Gabriela Lopez Zambrano,F,S,1960-04-19,4048.31,3081.22,T,ARRENDADA,2,PROPIA,Loja,1
2000052,Jorge Mendoza Cedeño,M,C,1989-05-10,1945.66,1089.40,S,FAMILIAR,3,ARRENDADA,Guayaquil,1
2000053,Maria Torres Mendoza,F,S,1965-09-11,2031.81,1480.22,S,HIPOTECADA,1,ARRENDADA,Ambato,1
2000054,Andres Ponce Lopez,M,V,1993-11-11,787.34,354.07,N,PROPIA,0,ARRENDADA,Manta,1
2000055,Ana Ponce Vera,F,C,1974-02-09,1631.22,932.72,N,PROPIA,0,ARRENDADA,Manta,1
2000056,Carlos Vera Ponce,M,V,1961-01-19,3491.71,1832.70,U,HIPOTECADA,0,HIPOTECADA,Machala,1
2000057,Luis Cedeño Mendoza,M,S,1957-02-27,2243.39,1108.36,S,ARRENDADA,3,HIPOTECADA,Quito,1
2000058,Ana Lopez Cedeño,F,S,1993-07-22,4132.45,3097.46,U,FAMILIAR,3,HIPOTECADA,Loja,1
2000059,Camila Moreira Cedeño,F,U,1991-09-13,1485.73,1037.92,N,PROPIA,1,FAMILIAR,Portoviejo,1
2000060,Andres Ponce Mendoza,M,U,1955-05-20,1360.28,901.81,P,HIPOTECADA,0,HIPOTECADA,Cuenca,1
2000061,Carlos Cedeño Moreira,M,C,1973-04-26,3969.08,3111.33,P,FAMILIAR,4,HIPOTECADA,Quito,1
2000062,Gabriela Torres Vera,F,D,1955-05-17,624.93,459.43,N,HIPOTECADA,4,ARRENDADA,Loja,1
2000063,Oscar Cedeño Cedeño,M,U,1975-01-29,1988.43,769.77,N,PROPIA,2,ARRENDADA,Machala,1
2000064,Diana Zambrano Zambrano,F,C,2002-02-05,1279.22,837.71,N,PROPIA,0,ARRENDADA,Loja,1
2000065,Luis Moreira Zambrano,M,S,2000-02-19,900.16,580.97,S,HIPOTECADA,2,FAMILIAR,Manta,1
2000066,Jorge Zambrano Lopez,M,U,1962-11-12,3985.62,2273.62,T,HIPOTECADA,2,PROPIA,Machala,1
2000067,Miguel Ponce Cedeño,M,C,1957-12-28,1916.83,1095.78,S,ARRENDADA,0,ARRENDADA,Portoviejo,1
2000068,Diana Torres Zambrano,F,U,1975-11-11,643.19,519.77,S,FAMILIAR,0,ARRENDADA,Cuenca,1
2000069,Paola Zambrano Zambrano,F,C,1988-03-22,1259.59,602.74,N,FAMILIAR,1,HIPOTECADA,Manta,1
2000070,Maria Vera Torres,F,D,1961-03-20,1970.76,1609.73,T,FAMILIAR,3,ARRENDADA,Quito,1
2000071,Paola Vera Ponce,F,U,1964-02-28,849.12,307.80,N,PROPIA,5,HIPOTECADA,Guayaquil,1
2000072,Camila Vera Cedeño,F,C,1988-02-03,2644.47,1475.24,P,PROPIA,0,ARRENDADA,Cuenca,1
2000073,Sofia Moreira Torres,F,D,1978-11-17,1894.95,564.60,U,ARRENDADA,3,ARRENDADA,Manta,1
2000074,Diana Vera Torres,F,U,1978-06-10,1886.65,1417.13,N,FAMILIAR,4,PROPIA,Portoviejo,1
2000075,Miguel Mendoza Moreira,M,D,1996-06-12,2035.92,919.08,S,HIPOTECADA,1,ARRENDADA,Machala,1
2000076,Gabriela Lopez Ponce,F,U,1955-11-28,3977.05,2927.48,P,ARRENDADA,0,ARRENDADA,Cuenca,1
2000077,Andres Ponce Zambrano,M,S,1964-05-11,1913.08,1369.45,T,FAMILIAR,0,FAMILIAR,Machala,1
2000078,Lucia Cedeño Cedeño,F,C,1964-02-28,2147.26,755.02,T,FAMILIAR,1,FAMILIAR,Portoviejo,1
2000079,Lucia Moreira Mendoza,F,S,1955-02-17,2938.75,2257.99,P,FAMILIAR,2,PROPIA,Quito,1
2000080,Jorge Ponce Zambrano,M,D,1968-07-28,1732.06,974.57,T,ARRENDADA,1,PROPIA,Loja,1
2000081,Ana Zambrano Zambrano,F,U,2000-03-15,3109.14,2232.37,U,PROPIA,3,ARRENDADA,Guayaquil,1
2000082,Sofia Ponce Moreira,F,S,2001-10-18,4056.10,1782.08,P,PROPIA,0,PROPIA,Loja,1
2000083,Lucia Mendoza Lopez,F,U,1974-07-25,1597.19,814.85,N,FAMILIAR,5,FAMILIAR,Loja,1
2000084,Lucia Lopez Cedeño,F,S,1958-01-13,2873.70,1629.37,U,HIPOTECADA,2,PROPIA,Machala,1
2000085,Oscar Lopez Lopez,M,S,1986-08-04,2252.81,664.99,P,FAMILIAR,5,HIPOTECADA,Ambato,1
2000086,Miguel Torres Lopez,M,V,1998-12-19,752.97,340.51,N,HIPOTECADA,2,HIPOTECADA,Cuenca,1
2000087,Miguel Torres Zambrano,M,V,1966-03-05,3326.69,1500.13,P,ARRENDADA,5,FAMILIAR,Cuenca,1
2000088,Ana Cedeño Ponce,F,U,1981-09-22,518.73,304.13,P,PROPIA,1,ARRENDADA,Cuenca,1
2000089,Oscar Lopez Mendoza,M,U,1968-03-15,850.38,309.44,P,PROPIA,3,ARRENDADA,Ambato,1
2000090,Diana Vera Mendoza,F,D,1966-12-31,1827.83,1333.94,S,ARRENDADA,1,PROPIA,Manta,1
2000091,Andres Ponce Cedeño,M,V,1997-11-21,3098.27,2097.34,U,ARRENDADA,5,ARRENDADA,Manta,1
2000092,Jorge Torres Zambrano,M,S,1976-09-07,1450.38,421.85,U,ARRENDADA,5,FAMILIAR,Portoviejo,1
2000093,Jorge Cedeño Vera,M,U,1995-08-05,3081.16,1907.45,S,ARRENDADA,4,ARRENDADA,Cuenca,1
2000094,Mateo Lopez Lopez,M,D,1976-03-10,1320.80,936.35,P,ARRENDADA,2,HIPOTECADA,Manta,1
2000095,Lucia Vera Mendoza,F,D,1981-09-02,3212.94,2309.13,N,FAMILIAR,5,FAMILIAR,Ambato,1
2000096,Maria Moreira Vera,F,S,1987-06-09,1128.28,639.50,S,ARRENDADA,2,ARRENDADA,Quito,1
2000097,Andres Moreira Ponce,M,D,1976-05-10,596.31,446.53,N,ARRENDADA,5,PROPIA,Machala,1
2000098,Maria Moreira Lopez,F,V,1960-12-21,1019.81,637.69,N,ARRENDADA,4,HIPOTECADA,Manta,1
2000099,Diego Lopez Moreira,M,D,1962-10-16,3401.03,1828.04,U,FAMILIAR,3,ARRENDADA,Machala,1
2000100,Oscar Zambrano Moreira,M,U,1961-04-15,4026.48,2849.34,P,HIPOTECADA,1,HIPOTECADA,Manta,1
2000101,Jorge Vera Ponce,M,C,2003-07-11,2436.74,1897.32,S,HIPOTECADA,2,FAMILIAR,Portoviejo,1
2000102,Diego Lopez Vera,M,U,1958-01-26,882.62,294.59,U,PROPIA,4,HIPOTECADA,Machala,1
2000103,Ana Moreira Ponce,F,D,1994-12-07,2162.22,1736.79,T,HIPOTECADA,2,ARRENDADA,Manta,1
2000104,Paola Vera Cedeño,F,S,1970-10-24,1559.42,867.29,P,ARRENDADA,5,PROPIA,Quito,1
2000105,Diego Vera Zambrano,M,V,1987-07-23,1183.64,346.07,N,HIPOTECADA,3,HIPOTECADA,Quito,1
2000106,Mateo Mendoza Zambrano,M,C,1986-03-05,1462.27,905.40,N,HIPOTECADA,5,FAMILIAR,Portoviejo,1
2000107,Carlos Cedeño Moreira,M,S,1978-02-19,4145.95,2315.14,P,ARRENDADA,0,ARRENDADA,Loja,1
2000108,Ana Zambrano Ponce,F,U,1986-10-03,812.63,490.04,T,ARRENDADA,2,FAMILIAR,Ambato,1
2000109,Camila Torres Lopez,F,C,1980-09-30,3687.60,2793.36,S,FAMILIAR,3,PROPIA,Guayaquil,1
2000110,Lucia Torres Torres,F,C,1993-09-08,1738.65,1213.23,T,HIPOTECADA,1,FAMILIAR,Loja,1
2000111,Jorge Lopez Torres,M,D,1975-07-12,3218.70,969.49,N,PROPIA,0,FAMILIAR,Loja,1
2000112,Mateo Ponce Ponce,M,U,1963-11-02,3208.54,1932.24,P,HIPOTECADA,1,FAMILIAR,Quito,1
2000113,Jorge Ponce Zambrano,M,C,1985-05-15,1131.23,330.89,P,FAMILIAR,3,HIPOTECADA,Portoviejo,1
2000114,Gabriela Torres Ponce,F,S,1992-12-16,1921.73,1533.46,N,PROPIA,0,ARRENDADA,Loja,1
2000115,Diana Torres Mendoza,F,U,1985-06-28,1270.05,720.21,U,FAMILIAR,5,FAMILIAR,Manta,1
2000116,Lucia Lopez Ponce,F,C,1978-04-07,3107.77,1686.17,N,FAMILIAR,2,PROPIA,Guayaquil,1
2000117,Diego Moreira Moreira,M,C,1987-03-20,3901.53,2913.74,U,HIPOTECADA,2,ARRENDADA,Loja,1
2000118,Carlos Vera Lopez,M,D,1955-12-15,3763.08,1912.72,S,HIPOTECADA,1,HIPOTECADA,Quito,1
2000119,Jorge Cedeño Lopez,M,D,1986-10-04,3278.32,2029.35,S,PROPIA,0,HIPOTECADA,Loja,1
2000120,Camila Mendoza Torres,F,S,1981-08-03,3005.41,1141.35,T,FAMILIAR,2,HIPOTECADA,Cuenca,1
2000121,Maria Vera Vera,F,V,1965-03-16,2939.04,2196.58,U,ARRENDADA,4,PROPIA,Loja,1
2000122,Gabriela Mendoza Moreira,F,C,1993-04-20,752.70,467.85,N,HIPOTECADA,5,FAMILIAR,Loja,1
2000123,Diana Moreira Zambrano,F,S,1988-02-10,2834.32,1045.58,U,PROPIA,0,PROPIA,Ambato,1
2000124,Camila Zambrano Ponce,F,U,1975-07-23,1162.33,374.22,N,HIPOTECADA,0,HIPOTECADA,Guayaquil,1
2000125,Ana Mendoza Vera,F,C,1966-04-06,1616.36,685.16,P,FAMILIAR,5,HIPOTECADA,Manta,1
2000126,Gabriela Cedeño Ponce,F,U,1992-12-18,3628.21,1573.59,U,PROPIA,5,FAMILIAR,Manta,1
2000127,Luis Zambrano Mendoza,M,U,1994-04-22,2222.88,1426.97,N,ARRENDADA,4,PROPIA,Quito,1
2000128,Paola Cedeño Zambrano,F,D,1957-12-31,2373.07,1380.70,S,FAMILIAR,0,HIPOTECADA,Portoviejo,1
2000129,Ana Torres Ponce,F,V,1968-09-29,3531.95,2302.91,P,ARRENDADA,5,ARRENDADA,Quito,1
2000130,Miguel Vera Moreira,M,S,1967-09-27,4096.23,1324.52,T,FAMILIAR,3,FAMILIAR,Cuenca,1
2000131,Sofia Vera Vera,F,C,1965-06-08,1731.91,1059.80,N,HIPOTECADA,1,HIPOTECADA,Loja,1
2000132,Gabriela Torres Mendoza,F,U,1979-09-25,1233.32,656.30,P,FAMILIAR,1,HIPOTECADA,Quito,1
2000133,Gabriela Vera Ponce,F,C,2003-04-02,1523.14,584.04,N,HIPOTECADA,1,PROPIA,Ambato,1
2000134,Miguel Ponce Ponce,M,V,1966-05-19,1505.19,974.36,T,PROPIA,2,PROPIA,Loja,1
2000135,Diego Zambrano Vera,M,C,1994-01-25,1891.00,1495.71,N,HIPOTECADA,2,PROPIA,Manta,1
2000136,Oscar Moreira Mendoza,M,U,1991-10-27,1090.45,493.68,S,HIPOTECADA,5,FAMILIAR,Machala,1
2000137,Lucia Moreira Moreira,F,C,2000-05-23,1223.75,834.33,S,FAMILIAR,1,PROPIA,Machala,1
2000138,Miguel Ponce Torres,M,C,1992-06-27,1550.41,864.35,U,PROPIA,1,FAMILIAR,Portoviejo,1
2000139,Sofia Zambrano Vera,F,C,1995-12-04,2881.68,1097.47,N,ARRENDADA,1,HIPOTECADA,Loja,1
2000140,Luis Ponce Mendoza,M,S,1975-03-14,702.26,312.22,S,ARRENDADA,3,HIPOTECADA,Cuenca,1
2000141,Gabriela Zambrano Ponce,F,D,1999-08-26,2786.47,1383.91,P,ARRENDADA,1,HIPOTECADA,Guayaquil,1
2000142,Miguel Zambrano Vera,M,U,1956-10-21,2694.56,912.92,S,FAMILIAR,0,ARRENDADA,Guayaquil,1
2000143,Miguel Ponce Lopez,M,C,1979-08-20,1259.32,790.32,N,FAMILIAR,0,FAMILIAR,Guayaquil,1
2000144,Paola Vera Ponce,F,V,1979-04-07,2023.59,640.36,U,ARRENDADA,5,PROPIA,Guayaquil,1
2000145,Oscar Torres Moreira,M,U,1974-09-05,757.10,218.36,S,HIPOTECADA,2,PROPIA,Ambato,1
2000146,Gabriela Torres Zambrano,F,D,1958-04-29,1416.05,446.93,S,FAMILIAR,5,HIPOTECADA,Ambato,1
2000147,Luis Torres Torres,M,C,1997-12-05,2801.66,1299.47,N,HIPOTECADA,3,PROPIA,Loja,1
2000148,Diego Moreira Zambrano,M,U,1993-10-17,3327.68,2289.79,N,ARRENDADA,1,HIPOTECADA,Guayaquil,1
2000149,Diana Zambrano Moreira,F,S,1980-03-26,2361.09,721.63,U,ARRENDADA,0,HIPOTECADA,Quito,1
2000150,Paola Lopez Vera,F,U,1957-11-09,2428.53,746.67,T,FAMILIAR,0,HIPOTECADA,Portoviejo,1
2000151,Miguel Cedeño Mendoza,M,V,1959-08-04,3292.04,2450.34,T,FAMILIAR,0,HIPOTECADA,Cuenca,1
2000152,Carlos Cedeño Torres,M,D,1979-08-09,2865.14,1610.13,N,ARRENDADA,1,FAMILIAR,Machala,1
2000153,Camila Zambrano Moreira,F,U,2001-01-13,1140.47,822.98,S,FAMILIAR,0,ARRENDADA,Manta,1
2000154,Diego Ponce Zambrano,M,U,1960-06-01,1961.01,1415.28,T,HIPOTECADA,2,FAMILIAR,Loja,1
2000155,Maria Torres Mendoza,F,U,1986-05-30,1495.65,650.68,P,PROPIA,4,FAMILIAR,Manta,1
2000156,Maria Lopez Vera,F,D,1956-01-09,438.08,254.39,T,FAMILIAR,0,ARRENDADA,Quito,1
2000157,Maria Ponce Ponce,F,V,1979-09-22,3605.09,2782.20,P,FAMILIAR,5,FAMILIAR,Manta,1
2000158,Camila Ponce Torres,F,C,1984-07-21,4122.18,1855.07,N,ARRENDADA,2,ARRENDADA,Machala,1
2000159,Luis Mendoza Mendoza,M,S,1978-06-19,3745.22,1094.41,T,FAMILIAR,5,ARRENDADA,Cuenca,1
2000160,Luis Cedeño Lopez,M,D,1965-03-24,2501.78,1499.37,T,HIPOTECADA,3,HIPOTECADA,Quito,1
2000161,Andres Moreira Torres,M,V,2001-09-08,2165.34,930.66,S,HIPOTECADA,0,PROPIA,Portoviejo,1
2000162,Andres Cedeño Cedeño,M,D,1991-05-11,1223.74,936.75,U,FAMILIAR,2,PROPIA,Guayaquil,1
2000163,Paola Moreira Lopez,F,V,1965-02-28,2483.01,1127.29,U,PROPIA,2,FAMILIAR,Manta,1
2000164,Carlos Lopez Vera,M,S,1983-12-01,3154.83,2410.78,P,PROPIA,3,FAMILIAR,Machala,1
2000165,Diego Lopez Torres,M,D,1965-03-31,2834.04,1318.50,T,PROPIA,1,PROPIA,Cuenca,1
2000166,Camila Cedeño Lopez,F,U,1997-05-23,967.50,525.61,S,HIPOTECADA,4,PROPIA,Guayaquil,1
2000167,Miguel Cedeño Lopez,M,U,1968-10-04,2965.90,1319.75,P,HIPOTECADA,5,HIPOTECADA,Cuenca,1
2000168,Carlos Torres Ponce,M,U,1973-07-16,531.12,352.84,N,HIPOTECADA,4,FAMILIAR,Ambato,1
2000169,Paola Vera Cedeño,F,D,1973-12-07,2948.43,1812.70,S,FAMILIAR,2,PROPIA,Cuenca,1
2000170,Miguel Vera Cedeño,M,U,1980-03-29,1060.03,526.58,U,FAMILIAR,5,ARRENDADA,Quito,1
2000171,Oscar Ponce Cedeño,M,U,1957-08-05,2294.47,1556.97,T,FAMILIAR,3,HIPOTECADA,Machala,1
2000172,Diana Zambrano Torres,F,U,1973-05-16,2001.62,1222.69,P,FAMILIAR,3,HIPOTECADA,Guayaquil,1
2000173,Miguel Zambrano Vera,M,V,1994-07-14,536.85,210.76,S,ARRENDADA,3,PROPIA,Portoviejo,1
2000174,Lucia Vera Torres,F,C,1961-01-05,2856.44,2052.71,S,HIPOTECADA,4,FAMILIAR,Machala,1
2000175,Luis Lopez Zambrano,M,S,1960-09-14,3525.51,1779.24,N,ARRENDADA,1,ARRENDADA,Guayaquil,1
2000176,Mateo Vera Ponce,M,D,2001-08-21,850.75,267.93,U,FAMILIAR,5,HIPOTECADA,Quito,1
2000177,Carlos Cedeño Cedeño,M,D,1997-05-04,2859.99,1183.64,T,ARRENDADA,2,FAMILIAR,Ambato,1
2000178,Carlos Torres Zambrano,M,U,1976-02-03,511.88,174.17,T,ARRENDADA,3,PROPIA,Portoviejo,1
2000179,Ana Mendoza Moreira,F,C,1992-06-10,999.65,428.55,T,ARRENDADA,5,PROPIA,Quito,1
2000180,Lucia Ponce Mendoza,F,V,1964-07-13,822.96,604.72,N,PROPIA,1,HIPOTECADA,Cuenca,1
2000181,Carlos Ponce Vera,M,U,1981-05-22,2622.75,1337.00,U,HIPOTECADA,2,ARRENDADA,Quito,1
2000182,Paola Zambrano Ponce,F,U,1985-08-13,3047.57,1356.00,U,FAMILIAR,2,ARRENDADA,Manta,1
2000183,Paola Mendoza Mendoza,F,U,1992-11-14,3002.19,1372.32,P,PROPIA,1,HIPOTECADA,Manta,1
2000184,Mateo Cedeño Lopez,M,D,1993-03-18,1672.41,1347.07,N,FAMILIAR,0,HIPOTECADA,Portoviejo,1
2000185,Jorge Ponce Zambrano,M,U,1969-09-18,768.43,263.96,S,FAMILIAR,5,HIPOTECADA,Portoviejo,1
2000186,Jorge Ponce Zambrano,M,D,1988-06-21,3589.14,1791.17,U,PROPIA,4,PROPIA,Ambato,1
2000187,Luis Moreira Vera,M,V,1979-03-22,3870.95,1966.86,P,PROPIA,2,HIPOTECADA,Guayaquil,1
2000188,Oscar Moreira Zambrano,M,S,1987-02-28,1796.39,915.36,P,HIPOTECADA,1,PROPIA,Machala,1
2000189,Gabriela Mendoza Mendoza,F,U,1977-06-17,1755.04,1395.75,P,FAMILIAR,1,FAMILIAR,Portoviejo,1
2000190,Maria Mendoza Cedeño,F,V,1979-03-04,1866.10,891.68,T,HIPOTECADA,1,FAMILIAR,Loja,1
2000191,Diego Cedeño Vera,M,S,1999-03-31,2488.73,1258.02,U,ARRENDADA,5,HIPOTECADA,Machala,1
2000192,Diego Ponce Ponce,M,S,2001-03-17,3283.72,926.11,T,PROPIA,5,PROPIA,Cuenca,1
2000193,Sofia Zambrano Mendoza,F,V,1973-01-02,2377.13,805.30,U,HIPOTECADA,1,FAMILIAR,Portoviejo,1
2000194,Lucia Torres Zambrano,F,D,2000-04-07,1171.27,951.24,S,PROPIA,2,FAMILIAR,Quito,1
2000195,Carlos Cedeño Cedeño,M,V,1963-12-14,1734.66,1380.29,S,ARRENDADA,5,PROPIA,Loja,1
2000196,Oscar Cedeño Torres,M,S,1998-12-22,3621.19,1868.06,T,HIPOTECADA,0,FAMILIAR,Quito,1
2000197,Gabriela Cedeño Moreira,F,C,1967-08-10,2885.50,1918.92,P,PROPIA,2,PROPIA,Portoviejo,1
2000198,Mateo Lopez Cedeño,M,S,1978-01-24,1119.75,843.26,U,PROPIA,0,PROPIA,Machala,1
2000199,Mateo Lopez Cedeño,M,D,1999-08-27,1903.43,540.84,U,ARRENDADA,5,PROPIA,Machala,1
2000200,Oscar Ponce Vera,M,V,1978-12-13,2323.20,1569.21,P,PROPIA,4,FAMILIAR,Manta,1
2000201,Diego Moreira Cedeño,M,D,1961-08-05,2644.00,1558.84,U,PROPIA,4,FAMILIAR,Machala,1
2000202,Oscar Mendoza Vera,M,D,1959-03-22,3189.53,1157.59,T,FAMILIAR,0,HIPOTECADA,Loja,1
2000203,Miguel Lopez Mendoza,M,U,1963-01-22,947.43,598.63,P,PROPIA,2,FAMILIAR,Manta,1
2000204,Mateo Zambrano Mendoza,M,D,1996-11-13,2550.43,1527.41,P,PROPIA,4,PROPIA,Loja,1
2000205,Carlos Ponce Vera,M,U,1957-01-08,539.75,190.84,P,FAMILIAR,5,PROPIA,Quito,1
2000206,Sofia Cedeño Moreira,F,C,1986-05-31,810.47,299.73,T,HIPOTECADA,4,HIPOTECADA,Loja,1
2000207,Camila Moreira Mendoza,F,U,1962-06-20,3136.13,1744.27,N,PROPIA,2,ARRENDADA,Cuenca,1
2000208,Andres Cedeño Zambrano,M,V,1986-01-18,3342.41,2093.48,P,PROPIA,5,HIPOTECADA,Cuenca,1
2000209,Paola Moreira Moreira,F,C,1957-12-15,2572.65,757.49,P,PROPIA,0,ARRENDADA,Cuenca,1
2000210,Paola Cedeño Lopez,F,V,1961-09-15,4055.26,1169.45,U,ARRENDADA,3,FAMILIAR,Guayaquil,1
2000211,Mateo Mendoza Ponce,M,S,1974-03-02,1506.20,1087.32,N,HIPOTECADA,2,PROPIA,Cuenca,1
2000212,Diego Lopez Ponce,M,C,1957-06-09,2679.63,1171.23,T,HIPOTECADA,3,PROPIA,Quito,1
2000213,Oscar Moreira Lopez,M,D,1961-11-03,752.62,357.49,T,HIPOTECADA,2,HIPOTECADA,Machala,1
2000214,Carlos Ponce Zambrano,M,D,1979-03-18,3193.34,2479.50,U,HIPOTECADA,3,FAMILIAR,Loja,1
2000215,Paola Vera Torres,F,D,1981-08-01,2817.73,1866.20,T,HIPOTECADA,1,HIPOTECADA,Ambato,1
