fecha_trn,nro_socio,cuenta,signo_nc_nd,valor_trn,causal_trn,correccion,saldo_contable,saldo_disponible
2026-03-21,2000249,4000249,C,1943.81,2,N,15239.06,15201.17
2026-04-25,2000423,4000423,D,170.16,2,N,6442.32,6429.68
2026-03-26,2000380,4000380,D,2202.16,12,N,2481.20,2457.00
2026-05-03,2000223,4000223,C,2174.94,1,N,3816.75,3813.90
2026-04-13,2000497,4000497,D,349.25,1,N,2093.60,2088.06
2026-03-26,2000039,4000039,D,730.13,12,N,12069.56,12039.74
2026-05-08,2000001,4000001,C,378.26,8,N,4682.65,4647.52
2026-04-12,2000244,4000244,C,1083.47,5,N,5158.37,5132.97
2026-05-12,2000226,4000226,C,1772.90,1,N,18106.46,18081.11
2026-05-09,2000225,4000225,D,2104.19,5,N,3456.30,3420.61
2026-03-20,2000425,4000425,C,1552.83,21,N,4868.89,4822.40
2026-05-09,2000098,4000098,D,1881.34,21,N,14884.32,14869.73
2026-03-25,2000316,4000316,D,1764.68,5,N,7137.75,7123.62
2026-04-24,2000368,4000368,C,1786.91,21,N,12177.94,12136.11
2026-03-30,2000311,4000311,C,1892.30,33,N,18829.32,18791.13
2026-04-23,2000081,4000081,D,863.75,21,N,3331.81,3308.00
2026-03-27,2000304,4000304,D,1216.44,33,N,156.18,132.55
2026-04-22,2000031,4000031,C,760.84,8,N,886.31,880.24
2026-04-09,2000069,4000069,D,1293.02,2,N,11089.22,11061.21
2026-05-16,2000332,4000332,D,686.76,8,N,11228.60,11210.71
2026-05-07,2000082,4000082,C,1009.05,21,N,12834.94,12801.87
2026-05-14,2000398,4000398,C,608.49,33,N,15294.63,15248.48
2026-04-14,2000389,4000389,D,62.71,5,N,15541.97,15532.87
2026-04-16,2000424,4000424,C,1650.64,8,N,2137.76,2113.09
2026-05-12,2000123,4000123,C,940.11,1,N,11551.70,11517.51
2026-05-12,2000253,4000253,D,2378.47,33,N,15054.63,15048.82
2026-03-15,2000404,4000404,D,366.34,33,N,12910.93,12910.30
2026-03-24,2000318,4000318,D,2231.67,5,N,10544.17,10526.19
2026-05-09,2000179,4000179,C,2153.31,21,N,8866.41,8863.13
2026-04-05,2000354,4000354,D,749.69,8,N,15473.62,15464.30
2026-03-02,2000082,4000082,D,1686.96,5,N,10138.93,10130.20
2026-03-22,2000468,4000468,C,613.58,12,N,17160.63,17111.76
2026-03-18,2000386,4000386,D,1824.83,1,N,9549.70,9531.83
2026-05-13,2000112,4000112,D,956.20,5,N,16391.76,16387.77
2026-03-19,2000324,4000324,C,1500.93,12,N,18716.74,18706.37
2026-03-28,2000179,4000179,D,750.36,33,N,5962.74,5916.30
2026-05-11,2000038,4000038,C,989.59,8,N,4831.93,4821.04
2026-04-05,2000208,4000208,D,1207.68,5,N,5715.55,5700.32
2026-03-17,2000197,4000197,D,2256.35,12,N,15233.97,15221.73
2026-03-21,2000175,4000175,D,220.55,1,N,1437.50,1432.44
2026-05-07,2000049,4000049,C,1663.20,1,N,16847.32,16814.81
2026-05-08,2000123,4000123,D,2109.80,5,N,8501.79,8470.96
2026-03-17,2000246,4000246,D,36.00,2,N,17910.12,17906.09
2026-04-28,2000454,4000454,C,974.17,21,N,14214.86,14210.68
2026-03-30,2000250,4000250,C,1342.69,5,N,18334.86,18294.69
2026-04-17,2000346,4000346,C,861.26,21,N,15028.01,15027.08
2026-03-30,2000490,4000490,D,260.70,12,N,6097.56,6070.92
2026-03-01,2000482,4000482,C,1228.43,12,N,8678.92,8637.76
2026-04-14,2000219,4000219,D,121.66,33,N,13403.35,13391.16
2026-03-21,2000086,4000086,C,1108.82,2,N,6230.29,6228.46
2026-03-20,2000382,4000382,C,536.25,21,N,6456.40,6424.78
2026-05-07,2000248,4000248,D,1593.52,8,N,5560.76,5514.49
2026-05-08,2000415,4000415,D,1787.03,2,N,4490.08,4469.02
2026-03-28,2000010,4000010,C,682.98,1,N,9359.40,9314.99
2026-04-05,2000313,4000313,C,1109.39,1,N,6771.29,6722.50
2026-04-04,2000027,4000027,D,291.74,33,N,2541.38,2529.85
2026-03-15,2000050,4000050,D,1145.10,1,N,6037.31,6016.12
2026-04-20,2000299,4000299,D,1506.05,21,N,13238.64,13199.77
2026-05-04,2000410,4000410,C,1810.73,5,N,18838.45,18824.33
2026-03-05,2000241,4000241,D,1621.23,12,N,3382.83,3339.92
2026-03-28,2000289,4000289,C,2144.68,2,N,6893.26,6860.46
2026-03-17,2000390,4000390,C,1180.81,2,N,17330.99,17294.51
2026-04-10,2000177,4000177,C,8.46,1,N,12163.35,12132.18
2026-04-19,2000466,4000466,C,216.48,33,N,7332.30,7324.69
2026-03-25,2000381,4000381,D,52.13,1,N,15220.44,15212.59
2026-04-17,2000374,4000374,D,479.81,5,N,0.00,0.00
2026-05-12,2000486,4000486,D,33.34,1,N,4700.76,4662.42
2026-04-11,2000382,4000382,D,1233.35,21,N,4686.80,4682.79
2026-03-18,2000486,4000486,D,1768.26,5,N,2965.84,2951.76
2026-03-11,2000402,4000402,D,1378.13,8,N,6725.26,6714.05
2026-05-11,2000304,4000304,C,1791.77,12,N,3164.39,3162.16
2026-04-11,2000415,4000415,C,1555.83,33,N,7832.94,7814.04
2026-04-27,2000434,4000434,D,1235.26,1,N,4065.98,4036.24
2026-03-13,2000350,4000350,C,2439.77,1,N,6945.41,6937.76
2026-04-03,2000021,4000021,C,1834.08,5,S,17191.23,17188.30
2026-05-08,2000106,4000106,C,1964.12,12,N,2821.88,2800.97
2026-05-05,2000123,4000123,D,2486.62,8,N,8124.97,8110.33
2026-05-15,2000130,4000130,C,1915.05,33,N,2702.85,2683.74
2026-03-21,2000452,4000452,C,1895.17,5,N,18019.56,17984.26
2026-04-29,2000234,4000234,C,1128.25,33,N,6095.54,6060.36
2026-04-28,2000295,4000295,D,672.96,2,N,1819.27,1813.62
2026-04-13,2000152,4000152,C,2063.97,2,N,6049.57,6022.22
2026-04-24,2000296,4000296,C,891.47,5,N,4820.56,4779.97
2026-03-16,2000097,4000097,C,2408.19,1,N,14278.33,14240.89
2026-05-07,2000218,4000218,C,1157.56,2,N,9837.32,9787.83
2026-04-19,2000349,4000349,C,1207.77,2,N,18529.90,18525.64
2026-05-11,2000148,4000148,C,1505.96,1,S,12474.99,12438.79
2026-03-18,2000112,4000112,C,335.06,12,N,17683.02,17650.08
2026-04-21,2000176,4000176,D,1821.04,5,N,15567.70,15552.08
2026-04-08,2000136,4000136,C,1212.04,2,N,15805.66,15772.45
2026-03-23,2000093,4000093,D,470.46,21,N,16176.63,16165.99
2026-04-18,2000440,4000440,D,381.66,1,N,10563.57,10527.61
2026-05-13,2000217,4000217,D,1233.78,1,N,15959.10,15935.75
2026-04-09,2000305,4000305,C,1649.67,21,N,2479.26,2457.03
2026-04-24,2000011,4000011,C,1982.70,5,N,8109.18,8096.49
2026-03-14,2000121,4000121,C,600.35,2,N,16914.68,16891.04
2026-04-27,2000262,4000262,C,1067.35,1,N,10673.06,10635.72
2026-05-03,2000042,4000042,D,47.21,12,N,16403.57,16366.28
2026-03-07,2000258,4000258,C,461.29,1,N,7628.46,7582.85
2026-03-23,2000431,4000431,D,720.90,5,N,10023.29,9988.69
2026-04-12,2000023,4000023,C,969.46,33,N,12551.72,12523.65
2026-03-08,2000124,4000124,D,2404.97,21,N,10640.77,10615.79
2026-04-14,2000098,4000098,C,1611.39,5,N,18377.05,18330.89
2026-03-30,2000125,4000125,D,1404.89,12,N,11621.04,11601.95
2026-03-19,2000101,4000101,C,1869.48,5,N,11497.74,11482.18
2026-03-30,2000272,4000272,C,304.02,21,N,1761.85,1758.80
2026-03-22,2000348,4000348,D,1996.69,8,N,13542.27,13521.02
2026-05-13,2000339,4000339,D,2242.08,2,N,7538.98,7522.01
2026-04-02,2000099,4000099,D,977.86,33,N,5714.52,5676.68
2026-03-25,2000044,4000044,D,1147.77,21,S,12987.14,12952.67
2026-03-21,2000107,4000107,C,2397.75,8,N,4089.74,4047.80
2026-05-07,2000220,4000220,C,730.89,8,N,4129.33,4110.22
2026-05-13,2000216,4000216,C,2149.21,8,N,17035.11,17012.44
2026-04-05,2000445,4000445,D,381.39,2,N,2651.28,2633.82
2026-03-06,2000330,4000330,D,447.67,12,S,2760.97,2722.76
2026-04-23,2000059,4000059,D,2467.93,12,S,0.00,0.00
2026-04-15,2000310,4000310,D,363.61,21,N,923.87,879.22
2026-03-24,2000443,4000443,D,1933.39,21,N,4754.25,4725.34
2026-03-16,2000280,4000280,C,752.39,1,N,10420.04,10392.94
2026-03-07,2000322,4000322,D,429.47,8,N,10605.16,10579.16
2026-04-16,2000146,4000146,C,2190.95,5,N,2355.38,2311.84
2026-05-07,2000355,4000355,C,827.20,21,N,6556.32,6509.19
2026-04-10,2000142,4000142,C,463.00,5,N,3772.77,3751.70
2026-05-09,2000237,4000237,D,2255.18,2,N,1207.35,1193.76
2026-03-12,2000105,4000105,D,673.54,33,N,4245.24,4204.29
2026-03-13,2000427,4000427,D,1223.15,5,N,14383.98,14365.72
2026-04-15,2000029,4000029,C,1261.84,8,N,16805.44,16763.71
2026-03-17,2000348,4000348,D,1860.00,33,N,13678.96,13646.93
2026-03-01,2000175,4000175,C,1891.11,1,N,3549.16,3505.51
2026-04-12,2000383,4000383,C,2018.41,1,N,18704.48,18670.95
2026-03-28,2000259,4000259,C,1662.74,21,N,7857.34,7831.39
2026-03-11,2000444,4000444,C,2102.70,2,N,7494.00,7453.54
2026-03-28,2000476,4000476,D,1473.24,33,N,3321.35,3310.58
2026-03-27,2000207,4000207,C,228.14,1,N,6118.32,6106.93
2026-04-12,2000142,4000142,D,1594.43,1,N,1715.34,1676.68
2026-03-25,2000044,4000044,C,1285.75,2,N,15420.66,15404.91
2026-03-19,2000218,4000218,C,1605.56,33,N,10285.32,10236.81
2026-03-03,2000015,4000015,C,856.38,8,N,1801.44,1778.40
2026-03-18,2000208,4000208,D,955.82,21,N,5967.41,5931.05
2026-03-07,2000085,4000085,D,694.61,21,N,13553.01,13529.23
2026-05-01,2000076,4000076,C,974.53,33,N,11868.69,11857.22
2026-04-14,2000130,4000130,C,1936.70,33,N,2724.50,2677.37
2026-05-15,2000388,4000388,D,446.73,2,N,11455.91,11454.04
2026-04-09,2000210,4000210,C,1571.69,21,N,16711.40,16693.83
2026-03-25,2000143,4000143,C,793.89,5,N,5031.49,4989.70
2026-05-11,2000135,4000135,D,98.15,2,N,4958.65,4913.93
2026-05-10,2000229,4000229,D,205.30,1,N,1041.06,1031.48
2026-04-30,2000315,4000315,D,1589.38,33,N,1340.40,1321.09
2026-03-01,2000161,4000161,D,1401.12,1,N,14300.43,14291.58
2026-04-23,2000290,4000290,C,1860.51,12,N,10845.00,10832.72
2026-04-30,2000278,4000278,D,520.63,12,S,4971.13,4922.77
2026-05-14,2000028,4000028,D,1403.71,8,N,7926.25,7876.71
2026-04-28,2000248,4000248,C,670.38,33,N,7824.66,7812.07
2026-03-05,2000057,4000057,D,1000.12,21,N,2932.22,2914.95
2026-04-29,2000213,4000213,C,74.41,1,N,17836.68,17806.05
2026-04-02,2000311,4000311,C,884.65,2,N,17821.67,17792.20
2026-04-06,2000064,4000064,D,1168.21,21,N,9289.20,9261.86
2026-04-14,2000023,4000023,D,704.82,21,N,10877.44,10841.11
2026-04-14,2000227,4000227,D,1096.34,5,N,6442.39,6406.52
2026-04-21,2000099,4000099,C,598.15,33,N,7290.53,7290.20
2026-03-11,2000326,4000326,C,1326.73,33,N,5254.65,5221.39
2026-03-02,2000124,4000124,C,2012.54,33,N,15058.28,15018.80
2026-04-15,2000358,4000358,D,2009.06,21,N,5909.84,5865.27
2026-04-16,2000323,4000323,C,2295.33,8,N,12221.36,12180.85
2026-03-07,2000037,4000037,D,1279.23,12,N,16224.05,16197.20
2026-03-27,2000144,4000144,C,789.17,8,N,9217.56,9175.25
2026-05-11,2000255,4000255,D,210.72,21,N,8641.13,8623.35
2026-03-23,2000315,4000315,D,1757.45,33,N,1172.33,1158.74
2026-04-26,2000093,4000093,C,1202.39,8,N,17849.48,17807.05
2026-03-28,2000096,4000096,D,1513.41,12,N,9642.60,9630.56
2026-04-11,2000128,4000128,C,394.18,12,N,10184.38,10150.12
2026-04-12,2000105,4000105,D,2255.00,21,N,2663.78,2616.98
2026-03-21,2000234,4000234,C,63.05,1,N,5030.34,5010.64
2026-04-05,2000224,4000224,C,1537.01,1,N,12634.08,12600.73
2026-03-23,2000198,4000198,D,1113.69,33,N,1650.77,1632.65
2026-03-15,2000116,4000116,C,168.15,5,N,10981.93,10965.44
2026-05-01,2000305,4000305,C,531.28,5,N,1360.87,1312.29
2026-04-20,2000335,4000335,D,324.02,8,N,5102.76,5068.68
2026-03-14,2000013,4000013,D,1994.98,2,S,1752.82,1716.31
2026-03-10,2000401,4000401,C,1893.50,1,N,19079.36,19062.49
2026-05-02,2000279,4000279,D,1792.06,8,N,0.00,0.00
2026-05-02,2000242,4000242,D,2334.13,21,N,2315.55,2285.60
2026-03-23,2000069,4000069,C,1947.03,5,N,14329.27,14313.24
2026-05-01,2000073,4000073,C,2301.58,5,N,17842.84,17839.96
2026-03-13,2000457,4000457,D,424.84,5,N,7157.94,7146.82
2026-03-08,2000270,4000270,D,1601.05,21,N,15540.99,15528.23
2026-04-09,2000092,4000092,C,711.66,2,N,9249.36,9232.97
2026-04-30,2000100,4000100,C,375.14,5,N,892.76,890.00
2026-04-25,2000115,4000115,C,1147.63,33,N,18643.80,18611.34
2026-03-18,2000187,4000187,D,2227.95,1,N,4529.79,4509.47
2026-04-18,2000227,4000227,D,2381.28,1,N,5157.45,5138.35
2026-04-23,2000040,4000040,D,205.02,8,N,5391.17,5348.76
2026-05-07,2000424,4000424,C,292.48,21,N,779.60,774.26
2026-05-08,2000168,4000168,D,41.61,21,N,4736.65,4691.18
2026-05-17,2000032,4000032,C,792.18,33,N,3828.83,3798.85
2026-03-20,2000210,4000210,C,61.04,33,N,15200.75,15200.58
2026-04-02,2000338,4000338,D,450.16,1,N,7903.39,7887.64
2026-03-14,2000427,4000427,D,2495.62,8,N,13111.51,13062.78
2026-05-06,2000048,4000048,C,2375.40,21,N,17533.82,17532.90
2026-04-06,2000027,4000027,C,1071.30,21,N,3904.42,3854.62
2026-04-17,2000232,4000232,C,800.90,1,N,11378.79,11349.50
2026-04-06,2000490,4000490,D,1586.70,12,N,4771.56,4733.45
2026-03-29,2000294,4000294,C,1610.87,1,N,19354.88,19314.99
2026-04-12,2000180,4000180,D,618.00,8,N,14734.68,14715.10
2026-03-02,2000432,4000432,D,2020.51,12,N,3247.59,3201.80
2026-04-05,2000211,4000211,D,1401.78,21,N,6122.15,6079.00
2026-04-10,2000486,4000486,D,2244.36,1,N,2489.74,2472.32
2026-03-03,2000123,4000123,D,1121.03,21,N,9490.56,9482.90
2026-03-28,2000144,4000144,C,1434.89,12,N,9863.28,9840.11
2026-04-21,2000172,4000172,D,632.22,5,N,11345.96,11329.04
2026-05-12,2000474,4000474,C,2277.17,8,N,8858.09,8827.28
2026-04-29,2000062,4000062,D,1517.32,1,N,9538.80,9493.25
2026-03-09,2000442,4000442,D,1928.98,8,N,12038.31,12006.67
2026-05-16,2000385,4000385,D,1490.05,5,N,9845.93,9807.82
2026-03-03,2000260,4000260,D,1247.98,1,N,15364.66,15362.59
2026-05-02,2000171,4000171,D,6.00,2,N,4955.48,4916.00
2026-04-17,2000439,4000439,C,217.85,1,N,8420.02,8403.45
2026-05-08,2000076,4000076,C,2091.18,33,N,12985.34,12969.51
2026-03-04,2000390,4000390,C,538.07,8,N,16688.25,16671.41
2026-03-22,2000336,4000336,D,982.39,33,N,2627.30,2597.66
2026-05-14,2000314,4000314,D,1725.42,2,N,3592.30,3569.82
2026-03-09,2000117,4000117,D,654.88,21,N,3338.37,3292.52
2026-03-01,2000319,4000319,C,2422.44,21,N,3146.96,3139.95
2026-04-25,2000244,4000244,D,1770.11,21,N,2304.79,2277.28
2026-03-02,2000268,4000268,C,421.27,2,N,1100.91,1082.77
2026-04-15,2000014,4000014,D,656.43,5,S,851.69,814.33
2026-03-10,2000098,4000098,C,285.75,5,N,17051.41,17037.09
2026-04-07,2000280,4000280,D,1171.76,5,N,8495.89,8486.04
2026-05-08,2000147,4000147,C,1790.66,12,N,13825.01,13812.05
2026-04-22,2000054,4000054,D,162.83,12,N,2901.03,2894.73
2026-04-13,2000412,4000412,D,726.92,1,N,15908.26,15880.48
2026-04-27,2000103,4000103,D,1413.86,21,N,8991.11,8965.57
2026-03-08,2000033,4000033,C,2433.88,5,N,14191.77,14188.40
2026-04-29,2000262,4000262,D,1974.56,33,N,7631.15,7614.29
2026-03-02,2000455,4000455,C,1044.82,33,N,5078.64,5035.51
2026-03-30,2000477,4000477,D,2310.82,33,N,4523.15,4521.78
2026-03-07,2000390,4000390,C,1574.05,21,N,17724.23,17721.71
2026-03-20,2000467,4000467,C,1353.97,2,N,10486.15,10481.44
2026-04-15,2000446,4000446,D,1727.30,21,N,0.00,0.00
2026-04-20,2000374,4000374,D,1629.29,8,N,0.00,0.00
2026-03-02,2000174,4000174,C,1710.88,33,N,2830.36,2812.15
2026-04-23,2000087,4000087,D,532.56,2,N,14270.62,14266.54
2026-04-07,2000044,4000044,C,298.58,33,N,14433.49,14390.76
2026-03-24,2000261,4000261,D,848.59,5,N,8485.86,8482.21
2026-03-13,2000445,4000445,C,1947.68,8,N,4980.35,4970.03
2026-04-11,2000444,4000444,C,1745.35,21,N,7136.65,7124.73
2026-03-07,2000016,4000016,D,1080.61,8,N,9110.49,9088.12
2026-03-12,2000208,4000208,D,2243.73,12,N,4679.50,4647.87
2026-04-12,2000055,4000055,D,1189.89,5,N,12699.78,12687.98
2026-03-30,2000218,4000218,C,1777.25,21,N,10457.01,10413.92
2026-04-09,2000298,4000298,C,2290.16,12,N,11443.82,11425.71
2026-05-03,2000140,4000140,D,1239.94,21,N,11197.75,11193.96
2026-04-19,2000021,4000021,D,2397.27,21,N,12959.88,12920.46
2026-03-19,2000357,4000357,D,497.43,33,N,10871.14,10863.03
2026-03-20,2000285,4000285,D,594.29,33,N,9008.24,8977.23
2026-03-30,2000215,4000215,D,847.38,2,N,207.70,167.57
2026-05-18,2000093,4000093,C,2027.71,21,N,18674.80,18664.87
2026-05-17,2000431,4000431,D,2287.78,2,N,8456.41,8432.12
2026-03-09,2000181,4000181,C,2494.01,12,N,13475.95,13433.51
2026-03-04,2000452,4000452,C,2241.28,21,N,18365.67,18317.50
2026-04-20,2000205,4000205,C,1040.92,8,N,1141.48,1126.45
2026-03-11,2000191,4000191,D,1476.99,21,N,7917.16,7892.68
2026-03-12,2000277,4000277,D,1690.87,2,N,7459.70,7441.42
2026-04-14,2000318,4000318,C,1280.50,8,N,14056.34,14027.06
2026-05-13,2000315,4000315,C,1285.56,2,N,4215.34,4188.00
2026-03-26,2000136,4000136,D,106.68,8,N,14486.94,14455.91
2026-03-29,2000311,4000311,C,1372.47,21,N,18309.49,18272.55
2026-04-15,2000498,4000498,C,370.76,5,N,1054.57,1015.61
2026-03-22,2000434,4000434,C,1380.32,12,N,6681.56,6678.40
2026-03-16,2000324,4000324,D,913.91,2,N,16301.90,16288.98
2026-05-06,2000298,4000298,D,1378.75,2,N,7774.91,7739.98
2026-05-12,2000140,4000140,D,2043.84,8,N,10393.85,10361.74
2026-05-15,2000343,4000343,C,96.24,12,S,11116.69,11115.30
2026-04-17,2000266,4000266,C,168.80,1,N,10637.69,10625.55
2026-05-13,2000095,4000095,C,726.04,8,N,9118.32,9117.44
2026-04-18,2000047,4000047,D,557.90,21,N,3581.50,3555.49
2026-03-20,2000338,4000338,C,1566.51,2,N,9920.06,9877.15
2026-03-29,2000237,4000237,C,540.10,2,N,4002.63,3989.70
2026-03-28,2000357,4000357,C,1029.84,5,N,12398.41,12382.99
2026-03-18,2000336,4000336,D,1914.89,12,N,1694.80,1670.81
2026-04-10,2000105,4000105,C,1076.21,33,N,5994.99,5980.24
2026-03-15,2000120,4000120,C,1686.90,21,N,11541.76,11522.37
2026-03-04,2000298,4000298,C,1419.56,8,N,10573.22,10549.18
2026-03-10,2000317,4000317,D,1232.24,8,N,15763.96,15718.50
2026-04-20,2000068,4000068,C,2011.90,12,N,4376.04,4359.42
2026-05-08,2000142,4000142,D,1806.40,1,N,1503.37,1497.87
2026-03-18,2000460,4000460,C,641.39,21,N,18172.28,18128.80
2026-03-17,2000311,4000311,C,146.73,2,N,17083.75,17059.05
2026-04-23,2000267,4000267,C,1145.94,33,N,14219.14,14175.70
2026-04-04,2000164,4000164,C,2204.64,2,N,3736.93,3726.44
2026-05-12,2000411,4000411,D,1173.99,1,N,10738.83,10728.87
2026-03-02,2000202,4000202,C,1200.55,8,N,19021.96,19008.80
2026-03-12,2000245,4000245,C,1748.28,21,N,18028.43,17981.83
2026-04-29,2000255,4000255,D,2318.66,5,N,6533.19,6484.13
2026-03-25,2000052,4000052,D,1504.76,21,N,14866.65,14838.22
2026-03-03,2000302,4000302,C,2485.98,33,N,15148.40,15134.03
2026-05-18,2000394,4000394,D,735.49,2,N,198.04,156.53
2026-03-12,2000247,4000247,C,2033.92,2,N,14059.82,14048.98
2026-05-15,2000326,4000326,C,639.67,8,N,4567.59,4547.97
2026-03-30,2000480,4000480,D,1600.42,5,N,5909.43,5876.52
2026-03-21,2000346,4000346,D,268.40,12,N,13898.35,13850.68
2026-03-06,2000035,4000035,D,1665.10,5,N,14865.38,14828.51
2026-04-14,2000346,4000346,D,301.50,1,N,13865.25,13842.13
2026-05-10,2000249,4000249,D,1232.35,33,N,12062.90,12056.40
2026-05-02,2000210,4000210,C,2307.50,33,N,17447.21,17398.58
2026-03-06,2000406,4000406,C,221.65,1,N,17119.31,17106.41
2026-05-12,2000452,4000452,D,642.68,12,N,15481.71,15478.11
2026-05-18,2000316,4000316,D,2127.16,21,N,6775.27,6749.94
2026-04-06,2000235,4000235,D,1228.97,2,N,4499.01,4487.91
2026-03-22,2000455,4000455,C,1982.10,21,N,6015.92,5968.08
2026-04-03,2000099,4000099,D,2086.97,2,N,4605.41,4578.64
2026-04-08,2000402,4000402,D,1015.13,5,N,7088.26,7086.59
2026-03-13,2000427,4000427,C,1432.90,1,N,17040.03,16990.33
2026-03-16,2000281,4000281,C,729.25,33,N,9490.02,9453.83
2026-05-07,2000313,4000313,C,1430.95,2,N,7092.85,7073.01
2026-04-28,2000146,4000146,D,328.01,5,N,0.00,0.00
2026-04-18,2000053,4000053,C,447.23,8,N,2820.95,2807.85
